faculty, name, id ,academicPoints, lectureHours, tutorialHours, labHours, projectHours, examA, examB, prequstite courses, linked courses
Civil and Environmental Engineering,Flexible Pavement Design,014710,2,0,1,0,0,5.2.2019,3.3.2019,014730&014731,
Civil and Environmental Engineering,Planning and Operation of Public Transp.,014716,2,0,1,0,0,18.2.2019,15.3.2019,014730|014732|014733,
Civil and Environmental Engineering,Air Transportation,014717,2,0,1,0,0,8.2.2019,13.3.2019,014730&014731|014718&014730|014731&014733|014718&014733|014731&014732|014718&014733,
Civil and Environmental Engineering,Extended Project in Transportation Part1,014719,2,0,2,0,5,,,014703|014707|014708|014709,
Civil and Environmental Engineering,Project in Transportation Planning,014721,2,0,2,0,5,,,014702|014703,
Civil and Environmental Engineering,Project in Traffic Engineering,014722,2,0,2,0,5,,,014707|014732|014733,
Civil and Environmental Engineering,Project in Geometric Road Design,014723,2,0,2,0,5,,,014708|014779,
Civil and Environmental Engineering,Int. to Transportation Engineering,014730,2,0,1,0,0,8.2.2019,7.3.2019,,
Civil and Environmental Engineering,Traffic Engineering Amd Management,014733,4,0,2,1,0,19.2.2019,15.3.2019,,
Civil and Environmental Engineering,Survey Law,014829,2,0,0,0,0,7.2.2019,6.3.2019,014842,
Civil and Environmental Engineering,Fundamentals of Mapping and Surveying 1,014841,3,0,2,1,0,19.2.2019,13.3.2019,104003,104004
Civil and Environmental Engineering,Fundamentals of Mapping and Surveying 2,014842,4,0,2,3,0,19.2.2019,15.3.2019,014881&104004016826,
Civil and Environmental Engineering,Photogrammetry 1,014843,4,0,2,3,0,18.2.2019,15.3.2019,014814&014842&014863,
Civil and Environmental Engineering,Geospatial Databases,014846,3,0,2,0,0,28.2.2019,,014845&014881,
Civil and Environmental Engineering,Introduction to Geodesy,014848,4,0,2,0,0,15.2.2019,10.3.2019,014881,014842
Civil and Environmental Engineering,Geodetic Control Networks,014851,4,0,2,3,0,12.2.2019,10.3.2019,014814&014848&014863014808,
Civil and Environmental Engineering,Special Engineering Surveys,014853,3,0,2,0,0,,,014851,
Civil and Environmental Engineering,Image Processing for Mapping,014855,3,0,2,0,0,14.2.2019,12.3.2019,014878,
Civil and Environmental Engineering,Digital Terrain Modelling,014856,3,0,2,0,0,,,014843&014855,
Civil and Environmental Engineering,Hydrographic Surveying,014859,3,0,2,0,0,,,014842&014863&014877,
Civil and Environmental Engineering,Surveying Camp 2,014864,2,0,0,8,0,,,014851,014852&014853&014822
Civil and Environmental Engineering,Project in Geodesy and Surveying 1,014867,2,0,0,0,2,,,014851&014853&014888,
Civil and Environmental Engineering,Project in Digital Mapping 1,014869,2,0,0,0,2,,,014856&014857&014858,
Civil and Environmental Engineering,Introduction to Remote Sensing,014874,3,0,2,0,0,28.1.2019,27.2.2019,014877,
Civil and Environmental Engineering,Cartography and Introduction to Gis,014877,3,0,1,2,0,,,014842,
Civil and Environmental Engineering,Computer Aided Mapping,014878,3,0,2,2,0,,,014842&014846,
Civil and Environmental Engineering,Measurement Systems,014935,2,0,0,3,0,10.2.2019,5.3.2019,014003&114052|094480&114052074137,
Civil and Environmental Engineering,Transport Phenomena in Bio.and Envir.Sys,014940,3,0,2,0,0,3.2.2019,6.3.2019,014211|014214|054203,
Civil and Environmental Engineering,Hydraulic Engi. and Reservoirs,014942,3,0,1,0,0,,,014205&014212&014977,
Civil and Environmental Engineering,Land-Use Survey-Information Systems,014952,2,0,0,2,0,,,014956,
Civil and Environmental Engineering,Project 2 in Env. Eng.,014966,2,0,0,0,5,,,014301|064010,
Civil and Environmental Engineering,Ecology for Engineers,014968,2,0,0,2,0,31.1.2019,3.3.2019,,
Civil and Environmental Engineering,Int. to Flow and Pollution in Soils,014977,3,0,1,2,0,1.2.2019,1.3.2019,014211&104218|054203&104218|014214&104218,
Civil and Environmental Engineering,Earthmoving Equipment & Systems,015017,2,0,1,0,0,11.2.2019,5.3.2019,014409|015013,
Civil and Environmental Engineering,Prestressed Concrete,016111,3,0,1,0,1,14.2.2019,11.3.2019,014123&014145,
Civil and Environmental Engineering,Earthquake Engineering,016142,3,0,2,0,0,4.2.2019,3.3.2019,014123&014143&014146&014150&014411,
Civil and Environmental Engineering,Water Resources Systems Engineering 1,016203,2,0,1,0,0,28.1.2019,27.2.2019,014004&014205&014212&014322|014004&014205&014212&014325|014004&014205&014325,
Civil and Environmental Engineering,Environmental Fluid Mechanics,016206,3,0,2,0,0,19.2.2019,12.3.2019,014214,
Civil and Environmental Engineering,Water Waves,016210,2,0,1,0,0,6.2.2019,8.3.2019,014205,
Civil and Environmental Engineering,Air Pollution,016302,2,0,1,0,0,,,,
Civil and Environmental Engineering,Advanced Topics in Atmospheric Physics,016304,2,0,1,0,0,,,014214&014954,
Civil and Environmental Engineering,Membrane Separation in Wastewater Treatm,016328,3,0,1,1,0,31.1.2019,3.3.2019,014322|054307,
Civil and Environmental Engineering,Hydrobiology,016329,2,0,0,0,0,12.2.2019,15.3.2019,,
Civil and Environmental Engineering,Technologies for Airresources Management,016336,2,0,0,0,0,28.1.2019,27.2.2019,016302,
Civil and Environmental Engineering,Quality Control and Assurance in Buildings,016504,2,0,0,0,0,28.1.2019,27.2.2019,014003&014505,
Civil and Environmental Engineering,Design of Formwork for Concrete,016619,2,0,0,0,0,18.2.2019,,014123&014609&014610018619,
Civil and Environmental Engineering,Cross-Border Real-Esate Entrepreneurship,016631,3,0,0,0,0,31.1.2019,,014615,
Civil and Environmental Engineering,The Urban, Regional and National Planning and the Transportation Impact,016709,2,0,0,0,0,28.1.2019,5.3.2019,,
Civil and Environmental Engineering,Adjustment Computation 2,016801,2,0,1,0,0,29.1.2019,28.2.2019,014814,
Civil and Environmental Engineering,Digital Photogrammetry,016815,2,0,1,1,0,15.2.2019,15.3.2019,014843&014855,
Civil and Environmental Engineering,Advanced Marine Surveying,016819,3,0,2,0,0,10.2.2019,11.3.2019,014859,
Civil and Environmental Engineering,Navigation and Inertial Systems,016832,2,0,1,0,0,,,014849,
Civil and Environmental Engineering,Numerical Aspects in Image Triangulation,016835,3,0,2,0,0,,,014843,
Civil and Environmental Engineering,Soil Chemistry,Agrochemicals/Pollutants,017008,2,0,0,0,0,,,014327&014956&124120|014327&014956&125001,
Civil and Environmental Engineering,Physics of Porous Medium,017012,2,0,1,0,0,,,014006&014977,
Civil and Environmental Engineering,Biological Processes in Environmental Engineering,017022,2,0,1,0,0,15.2.2019,14.3.2019,014322076905,
Civil and Environmental Engineering,Design of Multistorey Buildings 1,018101,2,0,0,0,0,,,014146&014147,
Civil and Environmental Engineering,Principles of Structural Stability,018121,2,0,0,0,0,,,014145,
Civil and Environmental Engineering,Advanced Seminar in Structural Engineering,018130,5,0,0,0,5,,,,
Civil and Environmental Engineering,Advanced Seminar in Evnvironmental and Water Engineering,018310,5,0,0,0,5,,,,
Civil and Environmental Engineering,Biofilms,Biofouling and Biocorrosion,018315,2,0,0,0,0,,,014313|134058,
Civil and Environmental Engineering,Advanced Soil Mechanics,018420,3,0,0,1,0,,,,
Civil and Environmental Engineering,Advanced Seminar in Geotechnical Engineering,018423,5,0,0,0,5,,,,
Civil and Environmental Engineering,Life Cycle Assessment in Civil and Environmental Engineering Systems,018501,2,0,1,0,0,,,014603,
Civil and Environmental Engineering,Advanced Seminar in Building Sciences,018507,5,0,0,0,5,,,,
Civil and Environmental Engineering,Management of a Construction Company,018601,2,0,1,0,0,,,014606,
Civil and Environmental Engineering,Legal Problems and Issues in Construction,018616,2,0,0,0,0,,,,
Civil and Environmental Engineering,Advanced Seminar in Construction Management,018623,5,0,0,0,5,,,,
Civil and Environmental Engineering,Advanced Seminar in Transportation and Highway Engineering,018703,5,0,0,0,5,,,,
Civil and Environmental Engineering,Traffic Simulation Modeling,018709,2,0,0,0,0,,,014707,
Civil and Environmental Engineering,Adjustment Computation 3,018812,2,0,0,0,0,,,016801,
Civil and Environmental Engineering,Satellite Geodesy,018823,2,0,0,0,0,,,014848,
Civil and Environmental Engineering,Advanced Seminar in Real Estate Studies,018826,5,0,0,0,10,,,,
Civil and Environmental Engineering,Fundamental Mathematics for Engineers,019001,3,0,2,0,0,,,104131,
Civil and Environmental Engineering,Numerical Methods in Engineering,019003,3,0,2,0,0,,,014006,
Civil and Environmental Engineering,Seminar in Environment and Water Engineering,019057,1,0,0,0,2,,,078804,
Civil and Environmental Engineering,Advanced Study in Agricultural Engineering,019058,2,0,0,0,0,,,078806,
Civil and Environmental Engineering,Mechanics of Soft Materials,019149,2,0,0,0,0,,,,
Civil and Environmental Engineering,Advanced Wastewater Treatment,019310,3,0,1,0,0,,,019309,
Civil and Environmental Engineering,Environmental Engineering Seminar,019315,1,0,0,0,2,,,,
Civil and Environmental Engineering,Environmental Chemistry,019318,3,0,1,2,0,,,,
Civil and Environmental Engineering,Chemistry of Environmental Processes,019330,2,0,0,0,0,,,014327,
Civil and Environmental Engineering,Advanced Topics in Environmental Engineering,019340,2,0,0,0,0,,,,
Civil and Environmental Engineering,Advanced Topics in Environmental Quality,019341,2,0,0,0,0,,,,
Civil and Environmental Engineering,Lean Construction-Production Management in Design and Construction,019619,2,0,0,0,0,,,,
Civil and Environmental Engineering,Advanced Topics in Construction Management,019621,2,0,0,0,0,,,,
Civil and Environmental Engineering,Project Management in Dynamic Environmen,019625,3,0,0,0,0,,,,
Civil and Environmental Engineering,Road Building Materials - Laboratory 2,019705,2,0,0,2,0,,,014710,
Civil and Environmental Engineering,Transportation Network Analysis,019709,2,0,0,0,0,,,014703,
Civil and Environmental Engineering,Demand Modelling,019710,2,0,0,0,0,,,014703,
Civil and Environmental Engineering,Advanced Traffic Engineering,019714,2,0,0,0,0,,,014707,
Mechanical Engineering,Dynamics,034010,5,0,2,0,0,29.1.2019,27.2.2019,034028&104022&104131&114051|104013&104135&114071&334222|084505&104013&104135&114071,
